Year,Quarter,Month,Day,Average of CHARGE_RED_DISPO_SORT
2019,Qtr 4,November,13,5.88%
2019,Qtr 4,November,14,0.00%
2019,Qtr 4,November,15,0.00%
2019,Qtr 4,November,18,3.77%
2019,Qtr 4,November,19,5.71%
2019,Qtr 4,November,20,16.13%
2019,Qtr 4,November,21,24.32%
2019,Qtr 4,November,22,7.89%
2019,Qtr 4,November,25,8.70%
2019,Qtr 4,November,26,6.25%
2019,Qtr 4,November,27,0.00%
2019,Qtr 4,November,29,100.00%
2019,Qtr 4,December,2,20.00%
2019,Qtr 4,December,3,28.57%
2019,Qtr 4,December,4,6.67%
2019,Qtr 4,December,5,11.76%
2019,Qtr 4,December,6,5.88%
2019,Qtr 4,December,9,11.90%
2019,Qtr 4,December,10,13.33%
2019,Qtr 4,December,11,18.18%
2019,Qtr 4,December,12,14.29%
2019,Qtr 4,December,13,10.00%
2019,Qtr 4,December,16,13.79%
2019,Qtr 4,December,17,21.88%
2019,Qtr 4,December,18,8.33%
2019,Qtr 4,December,19,13.95%
2019,Qtr 4,December,20,11.11%
2019,Qtr 4,December,23,12.00%
2019,Qtr 4,December,24,0.00%
2019,Qtr 4,December,26,0.00%
2019,Qtr 4,December,27,11.76%
2019,Qtr 4,December,30,6.25%
2019,Qtr 4,December,31,20.00%
2020,Qtr 1,January,2,11.11%
2020,Qtr 1,January,3,14.29%
2020,Qtr 1,January,6,6.38%
2020,Qtr 1,January,7,5.00%
2020,Qtr 1,January,8,4.35%
2020,Qtr 1,January,9,12.50%
2020,Qtr 1,January,10,13.33%
2020,Qtr 1,January,12,0.00%
2020,Qtr 1,January,13,12.12%
2020,Qtr 1,January,14,4.17%
2020,Qtr 1,January,15,4.17%
2020,Qtr 1,January,16,12.50%
2020,Qtr 1,January,17,0.00%
2020,Qtr 1,January,21,20.00%
2020,Qtr 1,January,22,4.76%
2020,Qtr 1,January,23,6.67%
2020,Qtr 1,January,24,10.00%
2020,Qtr 1,January,27,22.86%
2020,Qtr 1,January,28,0.00%
2020,Qtr 1,January,29,6.45%
2020,Qtr 1,January,30,8.33%
2020,Qtr 1,January,31,4.35%
2020,Qtr 1,February,3,3.70%
2020,Qtr 1,February,4,13.64%
2020,Qtr 1,February,5,3.85%
2020,Qtr 1,February,6,8.00%
2020,Qtr 1,February,7,12.50%
2020,Qtr 1,February,10,18.75%
2020,Qtr 1,February,11,14.81%
2020,Qtr 1,February,13,10.81%
2020,Qtr 1,February,14,7.14%
2020,Qtr 1,February,18,5.26%
2020,Qtr 1,February,19,8.33%
2020,Qtr 1,February,20,10.53%
2020,Qtr 1,February,21,10.53%
2020,Qtr 1,February,24,4.35%
2020,Qtr 1,February,25,14.29%
2020,Qtr 1,February,26,0.00%
2020,Qtr 1,February,27,16.13%
2020,Qtr 1,February,28,5.56%
2020,Qtr 1,March,2,15.00%
2020,Qtr 1,March,3,12.50%
2020,Qtr 1,March,4,0.00%
2020,Qtr 1,March,5,13.33%
2020,Qtr 1,March,6,0.00%
2020,Qtr 1,March,9,10.00%
2020,Qtr 1,March,10,18.18%
2020,Qtr 1,March,11,8.00%
2020,Qtr 1,March,12,16.13%
2020,Qtr 1,March,13,23.81%
2020,Qtr 1,March,16,0.00%
2020,Qtr 1,March,17,25.00%
2020,Qtr 1,March,18,0.00%
2020,Qtr 1,March,19,0.00%
2020,Qtr 1,March,20,20.00%
2020,Qtr 1,March,23,50.00%
2020,Qtr 1,March,24,0.00%
2020,Qtr 1,March,25,0.00%
2020,Qtr 1,March,26,0.00%
2020,Qtr 1,March,27,0.00%
2020,Qtr 1,March,30,0.00%
2020,Qtr 2,April,2,0.00%
2020,Qtr 2,April,6,16.67%
2020,Qtr 2,April,7,0.00%
2020,Qtr 2,April,8,10.00%
2020,Qtr 2,April,9,33.33%
2020,Qtr 2,April,10,50.00%
2020,Qtr 2,April,13,0.00%
2020,Qtr 2,April,14,0.00%
2020,Qtr 2,April,15,0.00%
2020,Qtr 2,April,16,20.00%
2020,Qtr 2,April,17,33.33%
2020,Qtr 2,April,20,12.50%
2020,Qtr 2,April,21,0.00%
2020,Qtr 2,April,22,22.22%
2020,Qtr 2,April,23,12.50%
2020,Qtr 2,April,24,0.00%
2020,Qtr 2,April,27,0.00%
2020,Qtr 2,April,28,0.00%
2020,Qtr 2,April,29,83.49%
2020,Qtr 2,April,30,0.00%
2020,Qtr 2,May,1,0.00%
2020,Qtr 2,May,4,0.00%
2020,Qtr 2,May,5,0.00%
2020,Qtr 2,May,6,0.00%
2020,Qtr 2,May,7,0.00%
2020,Qtr 2,May,8,0.00%
2020,Qtr 2,May,11,0.00%
2020,Qtr 2,May,12,7.14%
2020,Qtr 2,May,13,0.00%
2020,Qtr 2,May,14,4.76%
2020,Qtr 2,May,15,0.00%
2020,Qtr 2,May,18,0.00%
2020,Qtr 2,May,19,3.45%
2020,Qtr 2,May,20,7.69%
2020,Qtr 2,May,21,3.77%
2020,Qtr 2,May,22,0.00%
2020,Qtr 2,May,26,0.00%
2020,Qtr 2,May,27,0.00%
2020,Qtr 2,May,28,4.76%
2020,Qtr 2,May,29,0.00%
2020,Qtr 2,June,2,5.56%
2020,Qtr 2,June,3,15.38%
2020,Qtr 2,June,4,6.25%
2020,Qtr 2,June,5,14.29%
2020,Qtr 2,June,8,8.33%
2020,Qtr 2,June,9,7.14%
2020,Qtr 2,June,10,11.11%
2020,Qtr 2,June,11,11.11%
2020,Qtr 2,June,12,0.00%
2020,Qtr 2,June,15,17.65%
2020,Qtr 2,June,16,0.00%
2020,Qtr 2,June,17,14.29%
2020,Qtr 2,June,18,0.00%
2020,Qtr 2,June,19,0.00%
2020,Qtr 2,June,22,0.00%
2020,Qtr 2,June,23,12.50%
2020,Qtr 2,June,24,0.00%
2020,Qtr 2,June,25,0.00%
2020,Qtr 2,June,26,18.18%
2020,Qtr 2,June,29,42.86%
2020,Qtr 2,June,30,7.69%
2020,Qtr 3,July,1,18.18%
2020,Qtr 3,July,2,0.00%
2020,Qtr 3,July,6,11.11%
2020,Qtr 3,July,7,9.09%
2020,Qtr 3,July,8,0.00%
2020,Qtr 3,July,9,0.00%
2020,Qtr 3,July,10,15.38%
2020,Qtr 3,July,13,6.67%
2020,Qtr 3,July,14,0.00%
2020,Qtr 3,July,15,0.00%
2020,Qtr 3,July,16,0.00%
2020,Qtr 3,July,17,7.69%
2020,Qtr 3,July,20,5.00%
2020,Qtr 3,July,21,0.00%
2020,Qtr 3,July,22,0.00%
2020,Qtr 3,July,23,25.00%
2020,Qtr 3,July,24,7.69%
2020,Qtr 3,July,27,0.00%
2020,Qtr 3,July,28,6.25%
2020,Qtr 3,July,29,5.26%
2020,Qtr 3,July,30,0.00%
2020,Qtr 3,July,31,0.00%
2020,Qtr 3,August,3,0.00%
2020,Qtr 3,August,4,5.56%
2020,Qtr 3,August,5,0.00%
2020,Qtr 3,August,6,0.00%
2020,Qtr 3,August,7,0.00%
2020,Qtr 3,August,10,0.00%
2020,Qtr 3,August,11,0.00%
2020,Qtr 3,August,12,11.76%
2020,Qtr 3,August,13,0.00%
2020,Qtr 3,August,14,7.69%
2020,Qtr 3,August,17,0.00%
2020,Qtr 3,August,18,0.00%
2020,Qtr 3,August,19,0.00%
2020,Qtr 3,August,20,0.00%
2020,Qtr 3,August,21,0.00%
2020,Qtr 3,August,24,0.00%
2020,Qtr 3,August,25,5.56%
2020,Qtr 3,August,26,22.22%
2020,Qtr 3,August,27,0.00%
2020,Qtr 3,August,28,0.00%
2020,Qtr 3,August,31,0.00%
2020,Qtr 3,September,1,6.25%
2020,Qtr 3,September,2,10.00%
2020,Qtr 3,September,3,0.00%
2020,Qtr 3,September,4,0.00%
2020,Qtr 3,September,6,0.00%
2020,Qtr 3,September,8,6.67%
2020,Qtr 3,September,9,12.50%
2020,Qtr 3,September,10,12.50%
2020,Qtr 3,September,11,0.00%
2020,Qtr 3,September,14,15.38%
2020,Qtr 3,September,15,18.18%
2020,Qtr 3,September,16,5.26%
2020,Qtr 3,September,17,27.78%
2020,Qtr 3,September,18,14.29%
2020,Qtr 3,September,21,6.67%
2020,Qtr 3,September,22,8.70%
2020,Qtr 3,September,23,8.70%
2020,Qtr 3,September,24,14.29%
2020,Qtr 3,September,25,15.00%
2020,Qtr 3,September,26,0.00%
2020,Qtr 3,September,28,9.09%
2020,Qtr 3,September,29,3.85%
2020,Qtr 3,September,30,0.00%
2020,Qtr 4,October,1,7.69%
2020,Qtr 4,October,2,14.29%
2020,Qtr 4,October,5,8.00%
2020,Qtr 4,October,6,12.00%
2020,Qtr 4,October,7,21.43%
2020,Qtr 4,October,8,4.17%
2020,Qtr 4,October,9,12.50%
2020,Qtr 4,October,13,8.00%
2020,Qtr 4,October,14,0.00%
2020,Qtr 4,October,15,15.00%
2020,Qtr 4,October,16,7.69%
2020,Qtr 4,October,19,17.65%
2020,Qtr 4,October,20,0.00%
2020,Qtr 4,October,21,5.88%
2020,Qtr 4,October,22,0.00%
2020,Qtr 4,October,23,8.33%
2020,Qtr 4,October,26,20.00%
2020,Qtr 4,October,27,3.57%
2020,Qtr 4,October,28,0.00%
2020,Qtr 4,October,29,9.68%
2020,Qtr 4,October,30,11.76%
2020,Qtr 4,November,2,13.64%
2020,Qtr 4,November,3,0.00%
2020,Qtr 4,November,4,27.78%
2020,Qtr 4,November,5,9.09%
2020,Qtr 4,November,6,21.05%
2020,Qtr 4,November,9,10.53%
2020,Qtr 4,November,10,4.00%
2020,Qtr 4,November,12,13.79%
2020,Qtr 4,November,13,0.00%
2020,Qtr 4,November,16,6.67%
2020,Qtr 4,November,17,14.81%
2020,Qtr 4,November,18,5.88%
2020,Qtr 4,November,19,8.70%
2020,Qtr 4,November,20,0.00%
2020,Qtr 4,November,23,7.69%
2020,Qtr 4,November,24,5.88%
2020,Qtr 4,November,30,0.00%
2020,Qtr 4,December,1,5.56%
2020,Qtr 4,December,2,0.00%
2020,Qtr 4,December,3,14.29%
2020,Qtr 4,December,4,9.09%
2020,Qtr 4,December,7,6.25%
2020,Qtr 4,December,8,5.88%
2020,Qtr 4,December,9,0.00%
2020,Qtr 4,December,10,4.55%
2020,Qtr 4,December,11,13.33%
2020,Qtr 4,December,14,9.52%
2020,Qtr 4,December,15,9.09%
2020,Qtr 4,December,16,7.14%
2020,Qtr 4,December,17,12.50%
2020,Qtr 4,December,18,0.00%
2020,Qtr 4,December,21,0.00%
2020,Qtr 4,December,22,33.33%
2020,Qtr 4,December,23,0.00%
2020,Qtr 4,December,28,0.00%
2020,Qtr 4,December,29,33.33%
2020,Qtr 4,December,30,0.00%
2020,Qtr 4,December,31,0.00%
2021,Qtr 1,January,4,0.00%
2021,Qtr 1,January,5,7.41%
2021,Qtr 1,January,6,18.75%
2021,Qtr 1,January,7,10.00%
2021,Qtr 1,January,8,12.50%
2021,Qtr 1,January,11,6.67%
2021,Qtr 1,January,12,4.17%
2021,Qtr 1,January,13,16.67%
2021,Qtr 1,January,14,0.00%
2021,Qtr 1,January,15,11.11%
2021,Qtr 1,January,19,6.67%
2021,Qtr 1,January,20,0.00%
2021,Qtr 1,January,21,0.00%
2021,Qtr 1,January,22,0.00%
2021,Qtr 1,January,25,9.09%
2021,Qtr 1,January,26,2.86%
2021,Qtr 1,January,27,7.69%
2021,Qtr 1,January,28,6.25%
2021,Qtr 1,January,29,0.00%
2021,Qtr 1,February,1,13.33%
2021,Qtr 1,February,2,16.00%
2021,Qtr 1,February,3,25.00%
2021,Qtr 1,February,4,6.90%
2021,Qtr 1,February,5,16.67%
2021,Qtr 1,February,8,0.00%
2021,Qtr 1,February,9,9.68%
2021,Qtr 1,February,10,13.64%
2021,Qtr 1,February,11,4.55%
2021,Qtr 1,February,16,4.76%
2021,Qtr 1,February,17,14.29%
2021,Qtr 1,February,18,16.67%
2021,Qtr 1,February,19,0.00%
2021,Qtr 1,February,22,4.76%
2021,Qtr 1,February,23,8.57%
2021,Qtr 1,February,24,22.22%
2021,Qtr 1,February,25,12.50%
2021,Qtr 1,February,26,8.33%
2021,Qtr 1,March,1,11.54%
2021,Qtr 1,March,2,11.43%
2021,Qtr 1,March,3,4.76%
2021,Qtr 1,March,4,10.53%
2021,Qtr 1,March,5,0.00%
2021,Qtr 1,March,8,3.23%
2021,Qtr 1,March,9,0.00%
2021,Qtr 1,March,10,13.04%
2021,Qtr 1,March,11,17.50%
2021,Qtr 1,March,12,0.00%
2021,Qtr 1,March,15,5.00%
2021,Qtr 1,March,16,13.33%
2021,Qtr 1,March,17,0.00%
2021,Qtr 1,March,18,13.04%
2021,Qtr 1,March,19,11.11%
2021,Qtr 1,March,22,2.56%
2021,Qtr 1,March,23,0.00%
2021,Qtr 1,March,24,9.09%
2021,Qtr 1,March,25,5.56%
2021,Qtr 1,March,26,10.00%
2021,Qtr 1,March,28,0.00%
2021,Qtr 1,March,29,12.50%
2021,Qtr 1,March,30,13.79%
2021,Qtr 2,April,1,13.33%
2021,Qtr 2,April,2,7.69%
2021,Qtr 2,April,5,2.70%
2021,Qtr 2,April,6,0.00%
2021,Qtr 2,April,7,10.00%
2021,Qtr 2,April,8,16.00%
2021,Qtr 2,April,9,9.09%
2021,Qtr 2,April,12,0.00%
2021,Qtr 2,April,13,5.88%
2021,Qtr 2,April,14,0.00%
2021,Qtr 2,April,15,5.00%
2021,Qtr 2,April,16,22.22%
2021,Qtr 2,April,19,3.13%
2021,Qtr 2,April,20,14.63%
2021,Qtr 2,April,21,2.78%
2021,Qtr 2,April,22,7.14%
2021,Qtr 2,April,23,0.00%
2021,Qtr 2,April,26,10.53%
2021,Qtr 2,April,27,10.00%
2021,Qtr 2,April,28,18.18%
2021,Qtr 2,April,29,0.00%
2021,Qtr 2,April,30,0.00%
2021,Qtr 2,May,3,12.00%
2021,Qtr 2,May,4,15.38%
2021,Qtr 2,May,5,8.82%
2021,Qtr 2,May,6,3.45%
2021,Qtr 2,May,7,0.00%
2021,Qtr 2,May,8,0.00%
2021,Qtr 2,May,10,11.54%
2021,Qtr 2,May,11,4.17%
2021,Qtr 2,May,12,4.17%
2021,Qtr 2,May,13,11.11%
2021,Qtr 2,May,14,20.00%
2021,Qtr 2,May,17,15.00%
2021,Qtr 2,May,18,4.00%
2021,Qtr 2,May,19,6.25%
2021,Qtr 2,May,20,0.00%
2021,Qtr 2,May,21,0.00%
2021,Qtr 2,May,24,11.54%
2021,Qtr 2,May,25,0.00%
2021,Qtr 2,May,26,5.88%
2021,Qtr 2,May,27,5.71%
2021,Qtr 2,May,28,40.00%
2021,Qtr 2,June,1,10.71%
2021,Qtr 2,June,2,13.51%
2021,Qtr 2,June,3,14.29%
2021,Qtr 2,June,4,0.00%
2021,Qtr 2,June,7,9.52%
2021,Qtr 2,June,8,4.17%
2021,Qtr 2,June,9,0.00%
2021,Qtr 2,June,10,0.00%
2021,Qtr 2,June,11,7.69%
2021,Qtr 2,June,14,13.04%
2021,Qtr 2,June,15,3.70%
2021,Qtr 2,June,16,4.17%
2021,Qtr 2,June,17,5.56%
2021,Qtr 2,June,21,8.70%
2021,Qtr 2,June,22,0.00%
2021,Qtr 2,June,23,5.88%
2021,Qtr 2,June,24,8.33%
2021,Qtr 2,June,25,10.00%
2021,Qtr 2,June,28,17.39%
2021,Qtr 2,June,29,8.00%
2021,Qtr 2,June,30,13.33%
2021,Qtr 3,July,1,5.00%
2021,Qtr 3,July,2,12.50%
2021,Qtr 3,July,6,7.69%
2021,Qtr 3,July,7,0.00%
2021,Qtr 3,July,8,9.09%
2021,Qtr 3,July,9,5.26%
2021,Qtr 3,July,12,5.00%
2021,Qtr 3,July,13,2.33%
2021,Qtr 3,July,14,0.00%
2021,Qtr 3,July,15,9.68%
2021,Qtr 3,July,16,22.22%
2021,Qtr 3,July,19,26.67%
2021,Qtr 3,July,20,14.29%
2021,Qtr 3,July,21,13.33%
2021,Qtr 3,July,22,9.09%
2021,Qtr 3,July,23,0.00%
2021,Qtr 3,July,26,0.00%
2021,Qtr 3,July,27,8.57%
2021,Qtr 3,July,28,5.56%
2021,Qtr 3,July,29,11.11%
2021,Qtr 3,July,30,7.14%
2021,Qtr 3,August,2,0.00%
2021,Qtr 3,August,3,13.79%
2021,Qtr 3,August,4,12.90%
2021,Qtr 3,August,5,10.81%
2021,Qtr 3,August,6,0.00%
2021,Qtr 3,August,8,0.00%
2021,Qtr 3,August,9,4.00%
2021,Qtr 3,August,10,0.00%
2021,Qtr 3,August,11,6.90%
2021,Qtr 3,August,12,3.23%
2021,Qtr 3,August,13,6.67%
2021,Qtr 3,August,16,3.70%
2021,Qtr 3,August,17,12.50%
2021,Qtr 3,August,18,0.00%
2021,Qtr 3,August,19,4.17%
2021,Qtr 3,August,20,0.00%
2021,Qtr 3,August,23,5.88%
2021,Qtr 3,August,24,6.90%
2021,Qtr 3,August,25,7.41%
2021,Qtr 3,August,26,6.67%
2021,Qtr 3,August,27,8.33%
2021,Qtr 3,August,30,11.76%
2021,Qtr 3,August,31,13.33%
2021,Qtr 3,September,1,21.05%
2021,Qtr 3,September,2,0.00%
2021,Qtr 3,September,3,20.00%
2021,Qtr 3,September,7,4.35%
2021,Qtr 3,September,8,6.45%
2021,Qtr 3,September,9,8.82%
2021,Qtr 3,September,10,0.00%
2021,Qtr 3,September,13,3.57%
2021,Qtr 3,September,14,8.33%
2021,Qtr 3,September,15,11.54%
2021,Qtr 3,September,16,9.09%
2021,Qtr 3,September,17,0.00%
2021,Qtr 3,September,20,8.82%
2021,Qtr 3,September,21,7.69%
2021,Qtr 3,September,22,16.13%
2021,Qtr 3,September,23,6.25%
2021,Qtr 3,September,24,5.88%
2021,Qtr 3,September,27,5.88%
2021,Qtr 3,September,28,3.70%
2021,Qtr 3,September,29,10.87%
2021,Qtr 3,September,30,6.25%
2021,Qtr 4,October,1,10.00%
2021,Qtr 4,October,4,11.11%
2021,Qtr 4,October,5,10.26%
2021,Qtr 4,October,6,14.29%
2021,Qtr 4,October,7,20.00%
2021,Qtr 4,October,8,0.00%
2021,Qtr 4,October,12,3.45%
2021,Qtr 4,October,13,9.09%
2021,Qtr 4,October,14,7.69%
2021,Qtr 4,October,15,9.09%
2021,Qtr 4,October,18,9.09%
2021,Qtr 4,October,19,24.24%
2021,Qtr 4,October,20,20.00%
2021,Qtr 4,October,21,12.50%
2021,Qtr 4,October,22,17.65%
2021,Qtr 4,October,23,0.00%
2021,Qtr 4,October,25,21.88%
2021,Qtr 4,October,26,22.22%
2021,Qtr 4,October,27,11.11%
2021,Qtr 4,October,28,3.03%
2021,Qtr 4,October,29,0.00%
2021,Qtr 4,November,1,23.33%
2021,Qtr 4,November,2,14.29%
2021,Qtr 4,November,3,10.53%
2021,Qtr 4,November,4,10.26%
2021,Qtr 4,November,5,9.09%
2021,Qtr 4,November,8,20.00%
2021,Qtr 4,November,9,9.09%
2021,Qtr 4,November,10,0.00%
2021,Qtr 4,November,12,0.00%
2021,Qtr 4,November,15,17.65%
2021,Qtr 4,November,16,3.03%
2021,Qtr 4,November,17,14.29%
2021,Qtr 4,November,18,5.26%
2021,Qtr 4,November,19,4.55%
2021,Qtr 4,November,22,15.79%
2021,Qtr 4,November,23,0.00%
2021,Qtr 4,November,24,0.00%
2021,Qtr 4,November,29,11.54%
2021,Qtr 4,November,30,10.87%
2021,Qtr 4,December,1,10.34%
2021,Qtr 4,December,2,9.52%
2021,Qtr 4,December,3,20.83%
2021,Qtr 4,December,6,0.00%
2021,Qtr 4,December,7,10.26%
2021,Qtr 4,December,8,4.76%
2021,Qtr 4,December,9,8.33%
2021,Qtr 4,December,10,19.05%
2021,Qtr 4,December,13,17.39%
2021,Qtr 4,December,14,10.81%
2021,Qtr 4,December,15,11.36%
2021,Qtr 4,December,16,9.09%
2021,Qtr 4,December,17,4.76%
2021,Qtr 4,December,20,0.00%
2021,Qtr 4,December,21,0.00%
2021,Qtr 4,December,22,9.09%
2021,Qtr 4,December,23,0.00%
2021,Qtr 4,December,27,0.00%
2021,Qtr 4,December,28,23.08%
2021,Qtr 4,December,29,20.00%
2021,Qtr 4,December,30,14.29%
2022,Qtr 1,January,3,0.00%
2022,Qtr 1,January,4,0.00%
2022,Qtr 1,January,5,15.38%
2022,Qtr 1,January,6,0.00%
2022,Qtr 1,January,7,8.00%
2022,Qtr 1,January,10,9.09%
2022,Qtr 1,January,11,2.86%
2022,Qtr 1,January,12,29.41%
2022,Qtr 1,January,13,0.00%
2022,Qtr 1,January,14,0.00%
2022,Qtr 1,January,18,10.53%
2022,Qtr 1,January,19,6.25%
2022,Qtr 1,January,20,6.25%
2022,Qtr 1,January,21,28.57%
2022,Qtr 1,January,24,5.56%
2022,Qtr 1,January,25,7.14%
2022,Qtr 1,January,26,0.00%
2022,Qtr 1,January,27,12.00%
2022,Qtr 1,January,28,20.00%
2022,Qtr 1,January,31,0.00%
2022,Qtr 1,February,1,18.18%
2022,Qtr 1,February,2,16.67%
2022,Qtr 1,February,3,13.04%
2022,Qtr 1,February,4,27.27%
2022,Qtr 1,February,7,21.05%
2022,Qtr 1,February,8,0.00%
2022,Qtr 1,February,9,8.00%
2022,Qtr 1,February,10,7.14%
2022,Qtr 1,February,14,13.64%
2022,Qtr 1,February,15,0.00%
2022,Qtr 1,February,16,13.64%
2022,Qtr 1,February,17,5.00%
2022,Qtr 1,February,18,0.00%
2022,Qtr 1,February,22,10.00%
2022,Qtr 1,February,23,7.69%
2022,Qtr 1,February,24,16.67%
2022,Qtr 1,February,25,4.00%
2022,Qtr 1,February,28,10.00%
2022,Qtr 1,March,1,4.35%
2022,Qtr 1,March,2,0.00%
2022,Qtr 1,March,3,0.00%
2022,Qtr 1,March,4,4.55%
2022,Qtr 1,March,7,17.07%
2022,Qtr 1,March,8,13.33%
2022,Qtr 1,March,9,10.53%
2022,Qtr 1,March,10,5.00%
2022,Qtr 1,March,11,27.78%
2022,Qtr 1,March,14,4.44%
2022,Qtr 1,March,15,5.00%
2022,Qtr 1,March,16,5.41%
2022,Qtr 1,March,17,14.29%
2022,Qtr 1,March,18,13.33%
2022,Qtr 1,March,21,15.15%
2022,Qtr 1,March,22,3.33%
2022,Qtr 1,March,23,16.67%
2022,Qtr 1,March,24,10.53%
2022,Qtr 1,March,25,19.05%
2022,Qtr 1,March,28,0.00%
2022,Qtr 1,March,29,3.70%
2022,Qtr 1,March,30,0.00%
2022,Qtr 2,April,1,18.18%
2022,Qtr 2,April,4,16.00%
2022,Qtr 2,April,5,12.50%
2022,Qtr 2,April,6,13.64%
2022,Qtr 2,April,7,4.35%
2022,Qtr 2,April,8,41.67%
2022,Qtr 2,April,11,13.51%
2022,Qtr 2,April,12,0.00%
2022,Qtr 2,April,13,6.25%
2022,Qtr 2,April,14,4.55%
2022,Qtr 2,April,15,11.11%
2022,Qtr 2,April,16,0.00%
2022,Qtr 2,April,18,4.55%
2022,Qtr 2,April,19,11.11%
2022,Qtr 2,April,20,8.70%
2022,Qtr 2,April,21,0.00%
2022,Qtr 2,April,22,5.56%
2022,Qtr 2,April,25,13.79%
2022,Qtr 2,April,26,13.04%
2022,Qtr 2,April,27,9.38%
2022,Qtr 2,April,28,14.29%
2022,Qtr 2,April,29,8.33%
2022,Qtr 2,May,2,16.13%
2022,Qtr 2,May,3,9.09%
2022,Qtr 2,May,4,10.71%
2022,Qtr 2,May,5,5.00%
2022,Qtr 2,May,6,28.57%
2022,Qtr 2,May,9,8.70%
2022,Qtr 2,May,10,21.05%
2022,Qtr 2,May,11,10.00%
2022,Qtr 2,May,12,6.25%
2022,Qtr 2,May,13,0.00%
2022,Qtr 2,May,16,24.14%
2022,Qtr 2,May,17,10.00%
2022,Qtr 2,May,18,6.67%
2022,Qtr 2,May,19,11.76%
2022,Qtr 2,May,20,7.14%
2022,Qtr 2,May,23,7.14%
2022,Qtr 2,May,24,7.69%
2022,Qtr 2,May,25,0.00%
2022,Qtr 2,May,26,18.18%
2022,Qtr 2,May,27,16.67%
2022,Qtr 2,May,31,12.12%
2022,Qtr 2,June,1,32.14%
2022,Qtr 2,June,2,8.33%
2022,Qtr 2,June,3,12.50%
2022,Qtr 2,June,6,23.81%
2022,Qtr 2,June,7,0.00%
2022,Qtr 2,June,8,37.04%
2022,Qtr 2,June,9,0.00%
2022,Qtr 2,June,10,16.67%
2022,Qtr 2,June,13,2.44%
2022,Qtr 2,June,14,0.00%
2022,Qtr 2,June,15,15.00%
2022,Qtr 2,June,16,9.09%
2022,Qtr 2,June,17,4.00%
2022,Qtr 2,June,20,0.00%
2022,Qtr 2,June,21,9.09%
2022,Qtr 2,June,22,13.04%
2022,Qtr 2,June,23,13.64%
2022,Qtr 2,June,24,23.08%
2022,Qtr 2,June,27,11.76%
2022,Qtr 2,June,28,5.00%
2022,Qtr 2,June,29,8.33%
2022,Qtr 2,June,30,10.00%
2022,Qtr 3,July,1,0.00%
2022,Qtr 3,July,5,0.00%
2022,Qtr 3,July,6,13.04%
2022,Qtr 3,July,7,33.33%
2022,Qtr 3,July,8,0.00%
2022,Qtr 3,July,11,5.56%
2022,Qtr 3,July,12,11.11%
2022,Qtr 3,July,13,7.14%
2022,Qtr 3,July,14,0.00%
2022,Qtr 3,July,15,14.29%
2022,Qtr 3,July,18,14.29%
2022,Qtr 3,July,19,9.52%
2022,Qtr 3,July,20,7.69%
2022,Qtr 3,July,21,4.76%
2022,Qtr 3,July,22,15.38%
2022,Qtr 3,July,25,12.00%
2022,Qtr 3,July,26,0.00%
2022,Qtr 3,July,27,10.71%
2022,Qtr 3,July,28,10.00%
2022,Qtr 3,July,29,0.00%
2022,Qtr 3,August,1,0.00%
2022,Qtr 3,August,2,9.52%
2022,Qtr 3,August,3,5.88%
2022,Qtr 3,August,4,13.04%
2022,Qtr 3,August,5,11.11%
2022,Qtr 3,August,8,19.05%
2022,Qtr 3,August,9,4.55%
2022,Qtr 3,August,10,14.29%
2022,Qtr 3,August,11,10.00%
2022,Qtr 3,August,12,16.67%
2022,Qtr 3,August,15,8.89%
2022,Qtr 3,August,16,0.00%
2022,Qtr 3,August,17,15.00%
2022,Qtr 3,August,18,0.00%
2022,Qtr 3,August,19,20.00%
2022,Qtr 3,August,22,5.26%
2022,Qtr 3,August,23,4.76%
2022,Qtr 3,August,24,0.00%
2022,Qtr 3,August,25,11.76%
2022,Qtr 3,August,26,15.38%
2022,Qtr 3,August,29,0.00%
2022,Qtr 3,August,30,10.00%
2022,Qtr 3,August,31,12.82%
2022,Qtr 3,September,1,5.26%
2022,Qtr 3,September,2,0.00%
2022,Qtr 3,September,6,4.35%
2022,Qtr 3,September,7,12.50%
2022,Qtr 3,September,8,16.00%
2022,Qtr 3,September,9,0.00%
2022,Qtr 3,September,12,6.98%
2022,Qtr 3,September,13,0.00%
2022,Qtr 3,September,14,5.00%
2022,Qtr 3,September,15,6.67%
2022,Qtr 3,September,16,0.00%
2022,Qtr 3,September,18,0.00%
2022,Qtr 3,September,19,2.33%
2022,Qtr 3,September,20,9.68%
2022,Qtr 3,September,21,14.29%
2022,Qtr 3,September,22,12.50%
2022,Qtr 3,September,26,17.65%
2022,Qtr 3,September,27,10.71%
2022,Qtr 3,September,28,0.00%
2022,Qtr 3,September,29,25.00%
2022,Qtr 3,September,30,26.67%
2022,Qtr 4,October,3,21.62%
2022,Qtr 4,October,4,11.43%
2022,Qtr 4,October,5,18.18%
2022,Qtr 4,October,6,9.09%
2022,Qtr 4,October,7,3.57%
2022,Qtr 4,October,10,0.00%
2022,Qtr 4,October,11,22.22%
2022,Qtr 4,October,12,13.16%
2022,Qtr 4,October,13,21.05%
2022,Qtr 4,October,14,10.00%
2022,Qtr 4,October,17,10.34%
2022,Qtr 4,October,18,17.24%
2022,Qtr 4,October,19,7.41%
2022,Qtr 4,October,20,8.70%
2022,Qtr 4,October,21,0.00%
2022,Qtr 4,October,24,18.18%
