Year,Quarter,Month,Day,Average of FILING_DECISION_SORT,DEF_RACE
2020,Qtr 3,July,31,0.00%,White
2020,Qtr 3,August,1,100.00%,Latino
2020,Qtr 3,August,3,11.11%,Latino
2020,Qtr 3,August,3,0.00%,White
2020,Qtr 3,August,4,0.00%,Asian
2020,Qtr 3,August,4,0.00%,Black
2020,Qtr 3,August,4,0.00%,Latino
2020,Qtr 3,August,4,0.00%,White
2020,Qtr 3,August,5,0.00%,Latino
2020,Qtr 3,August,5,0.00%,White
2020,Qtr 3,August,6,0.00%,Missing/Unknown
2020,Qtr 3,August,6,0.00%,Black
2020,Qtr 3,August,6,10.00%,Latino
2020,Qtr 3,August,6,11.11%,White
2020,Qtr 3,August,7,0.00%,Missing/Unknown
2020,Qtr 3,August,7,0.00%,Asian
2020,Qtr 3,August,7,16.67%,Black
2020,Qtr 3,August,7,0.00%,Latino
2020,Qtr 3,August,7,0.00%,White
2020,Qtr 3,August,8,0.00%,Black
2020,Qtr 3,August,8,0.00%,Latino
2020,Qtr 3,August,8,0.00%,White
2020,Qtr 3,August,9,0.00%,Black
2020,Qtr 3,August,9,0.00%,White
2020,Qtr 3,August,10,0.00%,Missing/Unknown
2020,Qtr 3,August,10,0.00%,Asian
2020,Qtr 3,August,10,50.00%,Black
2020,Qtr 3,August,10,21.43%,Latino
2020,Qtr 3,August,10,0.00%,White
2020,Qtr 3,August,11,0.00%,Asian
2020,Qtr 3,August,11,0.00%,Black
2020,Qtr 3,August,11,20.00%,Latino
2020,Qtr 3,August,11,0.00%,White
2020,Qtr 3,August,12,0.00%,Asian
2020,Qtr 3,August,12,0.00%,Black
2020,Qtr 3,August,12,8.33%,Latino
2020,Qtr 3,August,12,0.00%,White
2020,Qtr 3,August,13,0.00%,Missing/Unknown
2020,Qtr 3,August,13,0.00%,Black
2020,Qtr 3,August,13,25.00%,Latino
2020,Qtr 3,August,13,0.00%,White
2020,Qtr 3,August,14,0.00%,Asian
2020,Qtr 3,August,14,0.00%,Latino
2020,Qtr 3,August,14,0.00%,White
2020,Qtr 3,August,16,0.00%,Latino
2020,Qtr 3,August,17,0.00%,Missing/Unknown
2020,Qtr 3,August,17,0.00%,Asian
2020,Qtr 3,August,17,0.00%,Latino
2020,Qtr 3,August,17,0.00%,White
2020,Qtr 3,August,18,0.00%,Black
2020,Qtr 3,August,18,0.00%,Latino
2020,Qtr 3,August,18,0.00%,White
2020,Qtr 3,August,19,0.00%,Asian
2020,Qtr 3,August,19,11.11%,Latino
2020,Qtr 3,August,19,0.00%,White
2020,Qtr 3,August,20,0.00%,Asian
2020,Qtr 3,August,20,11.11%,Latino
2020,Qtr 3,August,20,0.00%,White
2020,Qtr 3,August,21,0.00%,Asian
2020,Qtr 3,August,21,0.00%,Black
2020,Qtr 3,August,21,0.00%,Latino
2020,Qtr 3,August,21,16.67%,White
2020,Qtr 3,August,22,0.00%,Asian
2020,Qtr 3,August,22,0.00%,Latino
2020,Qtr 3,August,22,0.00%,White
2020,Qtr 3,August,23,0.00%,Latino
2020,Qtr 3,August,24,0.00%,Asian
2020,Qtr 3,August,24,0.00%,Black
2020,Qtr 3,August,24,7.14%,Latino
2020,Qtr 3,August,24,8.33%,White
2020,Qtr 3,August,25,16.67%,Asian
2020,Qtr 3,August,25,0.00%,Black
2020,Qtr 3,August,25,5.26%,Latino
2020,Qtr 3,August,25,16.67%,White
2020,Qtr 3,August,26,0.00%,Missing/Unknown
2020,Qtr 3,August,26,0.00%,Asian
2020,Qtr 3,August,26,0.00%,Black
2020,Qtr 3,August,26,0.00%,Latino
2020,Qtr 3,August,26,0.00%,White
2020,Qtr 3,August,27,0.00%,Asian
2020,Qtr 3,August,27,0.00%,Black
2020,Qtr 3,August,27,6.67%,Latino
2020,Qtr 3,August,27,0.00%,White
2020,Qtr 3,August,28,14.29%,Asian
2020,Qtr 3,August,28,0.00%,Black
2020,Qtr 3,August,28,4.35%,Latino
2020,Qtr 3,August,28,0.00%,White
2020,Qtr 3,August,29,100.00%,Latino
2020,Qtr 3,August,30,100.00%,White
2020,Qtr 3,August,31,0.00%,Asian
2020,Qtr 3,August,31,0.00%,Black
2020,Qtr 3,August,31,0.00%,Latino
2020,Qtr 3,August,31,0.00%,White
2020,Qtr 3,September,1,0.00%,Asian
2020,Qtr 3,September,1,0.00%,Black
2020,Qtr 3,September,1,9.09%,Latino
2020,Qtr 3,September,1,0.00%,White
2020,Qtr 3,September,2,0.00%,Missing/Unknown
2020,Qtr 3,September,2,0.00%,Asian
2020,Qtr 3,September,2,0.00%,Black
2020,Qtr 3,September,2,26.32%,Latino
2020,Qtr 3,September,2,0.00%,White
2020,Qtr 3,September,3,0.00%,Asian
2020,Qtr 3,September,3,0.00%,Black
2020,Qtr 3,September,3,0.00%,Latino
2020,Qtr 3,September,3,0.00%,White
2020,Qtr 3,September,4,0.00%,Missing/Unknown
2020,Qtr 3,September,4,0.00%,Asian
2020,Qtr 3,September,4,0.00%,Black
2020,Qtr 3,September,4,0.00%,Latino
2020,Qtr 3,September,4,0.00%,White
2020,Qtr 3,September,5,0.00%,Latino
2020,Qtr 3,September,7,0.00%,Latino
2020,Qtr 3,September,8,0.00%,Asian
2020,Qtr 3,September,8,0.00%,Black
2020,Qtr 3,September,8,8.70%,Latino
2020,Qtr 3,September,8,20.00%,White
2020,Qtr 3,September,9,0.00%,Missing/Unknown
2020,Qtr 3,September,9,33.33%,Asian
2020,Qtr 3,September,9,33.33%,Black
2020,Qtr 3,September,9,20.00%,Latino
2020,Qtr 3,September,9,10.00%,White
2020,Qtr 3,September,10,0.00%,Asian
2020,Qtr 3,September,10,0.00%,Black
2020,Qtr 3,September,10,0.00%,Latino
2020,Qtr 3,September,10,0.00%,White
2020,Qtr 3,September,11,0.00%,Missing/Unknown
2020,Qtr 3,September,11,0.00%,Asian
2020,Qtr 3,September,11,0.00%,Black
2020,Qtr 3,September,11,14.29%,Latino
2020,Qtr 3,September,11,0.00%,White
2020,Qtr 3,September,14,0.00%,Asian
2020,Qtr 3,September,14,50.00%,Black
2020,Qtr 3,September,14,0.00%,Latino
2020,Qtr 3,September,14,40.00%,White
2020,Qtr 3,September,15,0.00%,Asian
2020,Qtr 3,September,15,50.00%,Black
2020,Qtr 3,September,15,33.33%,Latino
2020,Qtr 3,September,15,33.33%,White
2020,Qtr 3,September,16,0.00%,Asian
2020,Qtr 3,September,16,0.00%,Black
2020,Qtr 3,September,16,25.00%,Latino
2020,Qtr 3,September,16,0.00%,White
2020,Qtr 3,September,17,50.00%,Asian
2020,Qtr 3,September,17,0.00%,Black
2020,Qtr 3,September,17,10.00%,Latino
2020,Qtr 3,September,17,0.00%,White
2020,Qtr 3,September,18,6.67%,Latino
2020,Qtr 3,September,18,33.33%,White
2020,Qtr 3,September,19,0.00%,White
2020,Qtr 3,September,20,0.00%,Asian
2020,Qtr 3,September,20,0.00%,Black
2020,Qtr 3,September,20,28.57%,Latino
2020,Qtr 3,September,20,0.00%,White
2020,Qtr 3,September,21,0.00%,Missing/Unknown
2020,Qtr 3,September,21,0.00%,Asian
2020,Qtr 3,September,21,0.00%,Black
2020,Qtr 3,September,21,0.00%,Latino
2020,Qtr 3,September,21,8.33%,White
2020,Qtr 3,September,22,20.00%,Asian
2020,Qtr 3,September,22,0.00%,Black
2020,Qtr 3,September,22,0.00%,Latino
2020,Qtr 3,September,22,8.33%,White
2020,Qtr 3,September,23,0.00%,Asian
2020,Qtr 3,September,23,0.00%,Black
2020,Qtr 3,September,23,0.00%,Latino
2020,Qtr 3,September,23,14.29%,White
2020,Qtr 3,September,24,0.00%,Black
2020,Qtr 3,September,24,18.18%,Latino
2020,Qtr 3,September,24,0.00%,White
2020,Qtr 3,September,25,25.00%,Asian
2020,Qtr 3,September,25,0.00%,Black
2020,Qtr 3,September,25,7.69%,Latino
2020,Qtr 3,September,25,20.00%,White
2020,Qtr 3,September,26,0.00%,Asian
2020,Qtr 3,September,26,0.00%,Black
2020,Qtr 3,September,26,0.00%,Latino
2020,Qtr 3,September,27,0.00%,Asian
2020,Qtr 3,September,27,0.00%,Latino
2020,Qtr 3,September,28,0.00%,Asian
2020,Qtr 3,September,28,33.33%,Black
2020,Qtr 3,September,28,0.00%,Latino
2020,Qtr 3,September,28,0.00%,White
2020,Qtr 3,September,29,0.00%,Missing/Unknown
2020,Qtr 3,September,29,50.00%,Asian
2020,Qtr 3,September,29,0.00%,Black
2020,Qtr 3,September,29,10.00%,Latino
2020,Qtr 3,September,29,16.67%,White
2020,Qtr 3,September,30,0.00%,Asian
2020,Qtr 3,September,30,0.00%,Black
2020,Qtr 3,September,30,0.00%,Latino
2020,Qtr 3,September,30,0.00%,White
2020,Qtr 4,October,1,0.00%,Asian
2020,Qtr 4,October,1,0.00%,Black
2020,Qtr 4,October,1,11.11%,Latino
2020,Qtr 4,October,1,0.00%,White
2020,Qtr 4,October,2,0.00%,Latino
2020,Qtr 4,October,2,0.00%,White
2020,Qtr 4,October,3,0.00%,Asian
2020,Qtr 4,October,3,0.00%,Black
2020,Qtr 4,October,3,0.00%,Latino
2020,Qtr 4,October,3,0.00%,White
2020,Qtr 4,October,4,0.00%,Missing/Unknown
2020,Qtr 4,October,4,33.33%,Black
2020,Qtr 4,October,4,0.00%,Latino
2020,Qtr 4,October,4,0.00%,White
2020,Qtr 4,October,5,0.00%,Missing/Unknown
2020,Qtr 4,October,5,0.00%,Asian
2020,Qtr 4,October,5,0.00%,Black
2020,Qtr 4,October,5,0.00%,Latino
2020,Qtr 4,October,5,11.11%,White
2020,Qtr 4,October,6,0.00%,Missing/Unknown
2020,Qtr 4,October,6,0.00%,Asian
2020,Qtr 4,October,6,0.00%,Black
2020,Qtr 4,October,6,8.70%,Latino
2020,Qtr 4,October,6,15.38%,White
2020,Qtr 4,October,7,100.00%,Missing/Unknown
2020,Qtr 4,October,7,0.00%,Asian
2020,Qtr 4,October,7,0.00%,Black
2020,Qtr 4,October,7,0.00%,Latino
2020,Qtr 4,October,7,0.00%,White
2020,Qtr 4,October,8,0.00%,Missing/Unknown
2020,Qtr 4,October,8,0.00%,Asian
2020,Qtr 4,October,8,50.00%,Black
2020,Qtr 4,October,8,9.09%,Latino
2020,Qtr 4,October,8,0.00%,White
2020,Qtr 4,October,9,0.00%,Asian
2020,Qtr 4,October,9,0.00%,Black
2020,Qtr 4,October,9,0.00%,Latino
2020,Qtr 4,October,9,0.00%,White
2020,Qtr 4,October,10,0.00%,Latino
2020,Qtr 4,October,10,50.00%,White
2020,Qtr 4,October,13,0.00%,Missing/Unknown
2020,Qtr 4,October,13,0.00%,Asian
2020,Qtr 4,October,13,0.00%,Black
2020,Qtr 4,October,13,12.50%,Latino
2020,Qtr 4,October,13,0.00%,White
2020,Qtr 4,October,14,0.00%,Asian
2020,Qtr 4,October,14,40.00%,Black
2020,Qtr 4,October,14,0.00%,Latino
2020,Qtr 4,October,14,7.69%,White
2020,Qtr 4,October,15,0.00%,Asian
2020,Qtr 4,October,15,0.00%,Black
2020,Qtr 4,October,15,5.88%,Latino
2020,Qtr 4,October,15,10.00%,White
2020,Qtr 4,October,16,0.00%,Missing/Unknown
2020,Qtr 4,October,16,25.00%,Asian
2020,Qtr 4,October,16,33.33%,Black
2020,Qtr 4,October,16,0.00%,Latino
2020,Qtr 4,October,16,0.00%,White
2020,Qtr 4,October,19,0.00%,Asian
2020,Qtr 4,October,19,16.67%,Black
2020,Qtr 4,October,19,6.25%,Latino
2020,Qtr 4,October,19,14.29%,White
2020,Qtr 4,October,20,0.00%,Missing/Unknown
2020,Qtr 4,October,20,0.00%,Asian
2020,Qtr 4,October,20,0.00%,Black
2020,Qtr 4,October,20,0.00%,Latino
2020,Qtr 4,October,20,0.00%,White
2020,Qtr 4,October,21,0.00%,Asian
2020,Qtr 4,October,21,0.00%,Black
2020,Qtr 4,October,21,16.67%,Latino
2020,Qtr 4,October,21,33.33%,White
2020,Qtr 4,October,22,0.00%,Asian
2020,Qtr 4,October,22,0.00%,Latino
2020,Qtr 4,October,22,0.00%,White
2020,Qtr 4,October,23,0.00%,Asian
2020,Qtr 4,October,23,0.00%,Black
2020,Qtr 4,October,23,0.00%,Latino
2020,Qtr 4,October,23,33.33%,White
2020,Qtr 4,October,25,0.00%,Latino
2020,Qtr 4,October,26,0.00%,Asian
2020,Qtr 4,October,26,11.76%,Latino
2020,Qtr 4,October,26,0.00%,White
2020,Qtr 4,October,27,0.00%,Asian
2020,Qtr 4,October,27,0.00%,Latino
2020,Qtr 4,October,27,33.33%,White
2020,Qtr 4,October,28,0.00%,Asian
2020,Qtr 4,October,28,0.00%,Black
2020,Qtr 4,October,28,8.33%,Latino
2020,Qtr 4,October,28,0.00%,White
2020,Qtr 4,October,29,0.00%,Black
2020,Qtr 4,October,29,0.00%,Latino
2020,Qtr 4,October,29,0.00%,White
2020,Qtr 4,October,30,0.00%,Asian
2020,Qtr 4,October,30,0.00%,Black
2020,Qtr 4,October,30,50.00%,Latino
2020,Qtr 4,October,30,0.00%,White
2020,Qtr 4,November,1,0.00%,Asian
2020,Qtr 4,November,1,0.00%,Latino
2020,Qtr 4,November,1,0.00%,White
2020,Qtr 4,November,2,0.00%,Missing/Unknown
2020,Qtr 4,November,2,0.00%,Asian
2020,Qtr 4,November,2,50.00%,Black
2020,Qtr 4,November,2,4.55%,Latino
2020,Qtr 4,November,2,0.00%,White
2020,Qtr 4,November,3,0.00%,Missing/Unknown
2020,Qtr 4,November,3,0.00%,Asian
2020,Qtr 4,November,3,25.00%,Black
2020,Qtr 4,November,3,4.00%,Latino
2020,Qtr 4,November,3,0.00%,White
2020,Qtr 4,November,4,0.00%,Asian
2020,Qtr 4,November,4,0.00%,Black
2020,Qtr 4,November,4,9.52%,Latino
2020,Qtr 4,November,4,38.46%,White
2020,Qtr 4,November,5,0.00%,Missing/Unknown
2020,Qtr 4,November,5,0.00%,Asian
2020,Qtr 4,November,5,100.00%,Black
2020,Qtr 4,November,5,15.38%,Latino
2020,Qtr 4,November,5,0.00%,White
2020,Qtr 4,November,6,0.00%,Missing/Unknown
2020,Qtr 4,November,6,0.00%,Asian
2020,Qtr 4,November,6,25.00%,Black
2020,Qtr 4,November,6,12.50%,Latino
2020,Qtr 4,November,6,0.00%,White
2020,Qtr 4,November,9,0.00%,Black
2020,Qtr 4,November,9,0.00%,White
2020,Qtr 4,November,10,0.00%,Missing/Unknown
2020,Qtr 4,November,10,0.00%,Asian
2020,Qtr 4,November,10,0.00%,Black
2020,Qtr 4,November,10,0.00%,Latino
2020,Qtr 4,November,10,0.00%,White
2020,Qtr 4,November,11,0.00%,Black
2020,Qtr 4,November,11,50.00%,White
2020,Qtr 4,November,12,0.00%,Asian
2020,Qtr 4,November,12,25.00%,Black
2020,Qtr 4,November,12,8.33%,Latino
2020,Qtr 4,November,12,0.00%,White
2020,Qtr 4,November,13,0.00%,Asian
2020,Qtr 4,November,13,20.00%,Latino
2020,Qtr 4,November,13,0.00%,White
2020,Qtr 4,November,16,50.00%,Asian
2020,Qtr 4,November,16,0.00%,Black
2020,Qtr 4,November,16,42.86%,Latino
2020,Qtr 4,November,16,0.00%,White
2020,Qtr 4,November,17,100.00%,Asian
2020,Qtr 4,November,17,0.00%,Black
2020,Qtr 4,November,17,0.00%,Latino
2020,Qtr 4,November,17,28.57%,White
2020,Qtr 4,November,18,0.00%,Asian
2020,Qtr 4,November,18,0.00%,Black
2020,Qtr 4,November,18,0.00%,Latino
2020,Qtr 4,November,18,25.00%,White
2020,Qtr 4,November,19,0.00%,Asian
2020,Qtr 4,November,19,0.00%,Black
2020,Qtr 4,November,19,0.00%,Latino
2020,Qtr 4,November,19,0.00%,White
2020,Qtr 4,November,20,0.00%,Asian
2020,Qtr 4,November,20,0.00%,Black
2020,Qtr 4,November,20,0.00%,Latino
2020,Qtr 4,November,20,14.29%,White
2020,Qtr 4,November,23,100.00%,Missing/Unknown
2020,Qtr 4,November,23,0.00%,Asian
2020,Qtr 4,November,23,0.00%,Black
2020,Qtr 4,November,23,0.00%,Latino
2020,Qtr 4,November,23,0.00%,White
2020,Qtr 4,November,24,0.00%,Asian
2020,Qtr 4,November,24,0.00%,Black
2020,Qtr 4,November,24,20.00%,Latino
2020,Qtr 4,November,24,0.00%,White
2020,Qtr 4,November,25,0.00%,Missing/Unknown
2020,Qtr 4,November,25,0.00%,Asian
2020,Qtr 4,November,25,28.57%,Black
2020,Qtr 4,November,25,7.14%,Latino
2020,Qtr 4,November,25,9.09%,White
2020,Qtr 4,November,27,0.00%,Black
2020,Qtr 4,November,27,0.00%,Latino
2020,Qtr 4,November,27,0.00%,White
2020,Qtr 4,November,28,100.00%,Missing/Unknown
2020,Qtr 4,November,28,0.00%,Black
2020,Qtr 4,November,28,0.00%,Latino
2020,Qtr 4,November,28,12.50%,White
2020,Qtr 4,November,29,0.00%,Asian
2020,Qtr 4,November,29,0.00%,Black
2020,Qtr 4,November,29,0.00%,Latino
2020,Qtr 4,November,29,0.00%,White
2020,Qtr 4,November,30,0.00%,Missing/Unknown
2020,Qtr 4,November,30,100.00%,Asian
2020,Qtr 4,November,30,0.00%,Black
2020,Qtr 4,November,30,0.00%,Latino
2020,Qtr 4,November,30,16.67%,White
2020,Qtr 4,December,1,0.00%,Missing/Unknown
2020,Qtr 4,December,1,0.00%,Asian
2020,Qtr 4,December,1,0.00%,Latino
2020,Qtr 4,December,1,16.67%,White
2020,Qtr 4,December,2,0.00%,Asian
2020,Qtr 4,December,2,0.00%,Black
2020,Qtr 4,December,2,0.00%,Latino
2020,Qtr 4,December,2,8.33%,White
2020,Qtr 4,December,3,0.00%,Missing/Unknown
2020,Qtr 4,December,3,0.00%,Asian
2020,Qtr 4,December,3,0.00%,Black
2020,Qtr 4,December,3,0.00%,Latino
2020,Qtr 4,December,3,0.00%,White
2020,Qtr 4,December,4,0.00%,Missing/Unknown
2020,Qtr 4,December,4,0.00%,Asian
2020,Qtr 4,December,4,0.00%,Black
2020,Qtr 4,December,4,8.33%,Latino
2020,Qtr 4,December,4,16.67%,White
2020,Qtr 4,December,5,0.00%,Latino
2020,Qtr 4,December,6,0.00%,Asian
2020,Qtr 4,December,6,0.00%,Black
2020,Qtr 4,December,6,0.00%,Latino
2020,Qtr 4,December,6,0.00%,White
2020,Qtr 4,December,7,0.00%,Missing/Unknown
2020,Qtr 4,December,7,0.00%,Black
2020,Qtr 4,December,7,0.00%,Latino
2020,Qtr 4,December,7,0.00%,White
2020,Qtr 4,December,8,0.00%,Asian
2020,Qtr 4,December,8,0.00%,Black
2020,Qtr 4,December,8,0.00%,Latino
2020,Qtr 4,December,8,0.00%,White
2020,Qtr 4,December,9,0.00%,Missing/Unknown
2020,Qtr 4,December,9,25.00%,Asian
2020,Qtr 4,December,9,0.00%,Black
2020,Qtr 4,December,9,0.00%,Latino
2020,Qtr 4,December,9,0.00%,White
2020,Qtr 4,December,10,12.50%,Asian
2020,Qtr 4,December,10,0.00%,Black
2020,Qtr 4,December,10,20.00%,Latino
2020,Qtr 4,December,10,25.00%,White
2020,Qtr 4,December,11,0.00%,Missing/Unknown
2020,Qtr 4,December,11,0.00%,Asian
2020,Qtr 4,December,11,33.33%,Black
2020,Qtr 4,December,11,11.76%,Latino
2020,Qtr 4,December,11,0.00%,White
2020,Qtr 4,December,12,0.00%,Black
2020,Qtr 4,December,12,0.00%,Latino
2020,Qtr 4,December,12,0.00%,White
2020,Qtr 4,December,14,0.00%,Asian
2020,Qtr 4,December,14,14.29%,Latino
2020,Qtr 4,December,14,25.00%,White
2020,Qtr 4,December,15,0.00%,Asian
2020,Qtr 4,December,15,0.00%,Black
2020,Qtr 4,December,15,5.26%,Latino
